ID,area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ann_mm,regime
08FF001,1990,107.0148662,82.1309424,89.65686063,141.7784921,269.4102513,303.9630151,229.3015477,147.85934459999999,166.1962615,232.7650732,177.9232166,111.2276263,2059.22749763,Icefield
08FF002,353,94.99847292,65.9863477,70.95610179,127.2992639,267.4606261,308.8126886,216.8770543,127.5667037,163.6117396,226.1338464,164.4243396,105.0797789,1939.20696351,Icefield
08FF003,180,155.3918413,112.8515202,126.8271994,222.1391977,479.2847996,510.2879965,321.8643196,180.9953599,224.2080013,343.8123219,241.4784,145.4916796,3064.632637,Icefield
08FF006,3.1900000569999998,378.9932665,210.8393317,305.5584835,363.0800039,390.8771785,167.9054174,90.49945178,136.3189215,336.042988,631.2171865,562.7994523,345.5651632,3919.69684478,Pluvial Dominant Hybrid
08GA061,3.630000114,326.4007834,216.2340412,217.1988045,165.0644573,107.7508731,65.81156903,40.06532102,30.9159659,34.36958567,158.1291478,336.3173465,278.907759,1977.16565442,Pluvial
08GA065,2.589999914,431.3620227,352.6408633,299.7601984,383.5626391,216.0041751,112.4617802,71.49294523,64.59343175,65.83651704,249.3733773,485.8749185,377.4579227,3110.42079132,Pluvial
08GA071,1200,67.32943472,49.71748988,71.25287991,134.3304001,328.0519197,466.992,525.3666207,427.4664828,251.3736002,203.5137598,146.8224007,64.5792,2736.79618851,Icefield
08GA072,297,60.04498703,42.80374044,52.73770538,78.07598748,211.7095916,370.6984324,415.9869571,324.1258932,182.5805639,145.9608256,114.3363002,64.3801558,2063.44114013,Icefield
08GA075,284,216.1360042,149.983278,170.8117976,226.5584077,341.0349304,368.8652352,292.1123795,182.4951251,125.3533714,203.7859262,280.7961957,202.3072222,2760.2398732,Nival Dominant Hybrid
08GA077,63,320.6285737,179.5535239,268.9500978,318.3314258,445.1954303,368.4342837,205.9692116,118.8935626,119.0760895,282.1829767,365.1103752,288.3413337,3280.6668845,Nival Dominant Hybrid
08GA079,82.90000153,401.9907721,165.8655166,262.6475062,292.632908,434.2995784,372.1617002,205.0916812,121.2734088,116.334031,309.449124,385.9636662,338.2731924,3405.9830851,Nival Dominant Hybrid
08GB013,147,219.3951509,111.9784092,166.8667842,207.785256,411.0309755,533.0247236,447.8171396,258.3350195,189.2375504,309.9493885,322.4914263,198.3595098,3376.2713335,Icefield
08GD004,5680,35.22473245,27.26016324,30.93363374,45.0040562,121.8797746,237.5391549,331.7349296,302.1687887,174.3998057,99.49690141,59.54739195,36.18734331,1501.3766758,Icefield
08GD007,1550,16.82948588,15.02691096,16.80603438,26.2300109,92.00935344,191.8208631,227.2984615,197.2977235,105.4165762,59.81538411,28.85931512,18.43775988,995.84787897,Icefield
08GD008,486,3.588126994,3.001098453,3.822939666,6.020229948,15.83019156,23.49609226,20.96882775,13.84429137,7.965057439,6.749020655,4.78160925,3.748695827,113.816181172,Icefield
08GE002,5780,38.95419223,29.1547184,33.25757241,51.69928187,140.071915,261.1947978,341.2794845,309.0658203,199.9895205,116.2118438,72.14004954,40.7933031,1633.81249945,Icefield
08GE003,23,102.4390949,49.64431269,66.88833612,94.64701092,267.8399977,535.6511054,924.6302504,851.4445459,530.4497726,317.8248574,199.3239323,91.55828188,4032.34149821,Icefield
08GF005,54.29999924,98.16689824,46.68556979,74.38767128,102.1157679,144.9045156,140.3770539,92.09537509,61.08831306,75.24841596,145.7787875,153.0974614,86.443758,1220.38958772,Pluvial Dominant Hybrid
08GF006,36.90000153,276.2477932,130.6813608,214.1268188,285.8926735,400.3920274,381.0461399,202.0664815,137.6609309,157.0815707,369.124487,377.9662135,239.1408547,3171.4273519,Nival Dominant Hybrid
08HA001,355,305.84813,199.0743618,185.3653991,147.3424231,95.65534622,42.52583662,14.90196386,7.028725134,9.009694806,81.88208368,254.0403403,270.5158843,1613.19018892,Pluvial
08HA003,209,307.6742592,209.6201794,178.1200061,106.0983725,44.9958385,20.98238457,10.57348597,5.130823302,6.953753151,64.08637998,239.4272161,268.2330027,1461.895701473,Pluvial
08HA010,578,474.2094026,306.6745588,303.3357512,217.6203742,127.6642221,64.57743987,32.68065058,22.97922897,31.45577878,187.5892595,442.4234207,392.3852419,2603.5953292,Pluvial
08HA016,15.5,245.8586481,152.0628863,120.6028793,55.1733675,24.84288001,11.57202584,5.454720047,3.444479996,3.389109711,14.24110352,110.5541756,199.7814858,946.977761724,Pluvial
08HA026,12.399999619999999,88.7760024,74.2376032,51.93600233,22.05290386,9.252000326,2.624516226,0.50400003,0.168000013,0.184440241,1.118117708,20.59582602,67.92564835,339.375060704,Pluvial
08HA068,2.880000114,502.7978385,213.8314186,281.5242729,165.4071365,102.3664247,56.1857133,32.28428446,20.19428494,30.59999925,181.4828506,430.5214161,400.2321298,2417.42776965,Pluvial
08HA069,8.119999886,1166.498834,481.9262572,702.8208413,454.3068281,289.233277,154.4529216,88.80636777,81.9555887,146.0025789,624.5371265,1134.675281,939.9845966,6265.20049867,Pluvial
08HA070,28,661.5059278,280.6077361,417.0651459,272.4046528,177.8471262,83.02996054,46.68751829,30.64707634,52.81556041,307.052069,667.9384578,593.2214471,3590.82267828,Pluvial
08HA072,13,265.0929256,107.5159387,162.9188296,187.2886146,211.1815376,93.81813004,36.9429016,19.5095293,26.53349087,139.2292538,287.69666109999997,242.8785816,1780.60639441,Pluvial Dominant Hybrid
08HB002,319,233.8484927,199.3577698,150.6815421,103.8852727,85.68140253,50.58697893,21.60528836,10.44315271,9.843270565,74.66244359,215.3613729,223.8039399,1379.760926785,Pluvial
08HB014,162,666.2933304,445.419027,426.0033803,285.8293327,150.7619567,92.52266642,48.52312869,44.13848948,60.36426697,352.3721779,679.7866653,588.1457777,3840.16019956,Pluvial
08HB024,113,305.3719275,203.8686702,201.9302708,179.5654072,209.9564822,147.9504437,62.58890309,31.31938005,29.95382015,179.4197841,304.8057656,274.6545143,2131.38536889,Pluvial Dominant Hybrid
08HB025,87.90000153,222.9421668,135.2594353,171.4785378,229.0632031,309.5979488,180.9841615,53.87392839,24.14445024,23.50443653,148.5638473,237.9685974,192.4060131,1929.78672626,Nival Dominant Hybrid
08HB032,86.19999695,207.4957385,138.934112,121.258195,69.87299543,28.02946738,14.11141572,3.397647657,1.133449851,2.245197287,18.54605648,119.2385187,185.4994045,909.762198505,Pluvial
08HB048,10.30000019,444.276337,297.9292834,270.2843591,182.3375499,95.50359466,57.33436803,31.42135888,28.80363455,42.63797991,225.973743,443.7520689,371.0840785,2491.33835583,Pluvial
08HB069,2.529999971,489.0991339,372.3971271,282.8840635,222.7731249,126.2153365,88.5059292,50.87430922,33.81818199,54.64031751,280.3674342,458.0144201,368.0386889,2827.62806702,Pluvial
08HB074,213,270.2067278,180.6007739,204.3425209,207.7511467,340.989761,330.5355985,202.568907,112.1398422,68.13388939,213.5565453,329.4194067,236.078175,2696.32329439,Nival Dominant Hybrid
08HB075,41.09999847,271.2613259,169.4855002,175.6675549,144.7042388,80.65779055,40.59412732,13.84165883,6.389059478,13.96779038,102.278489,230.9247485,260.8219291,1510.594212958,Pluvial
08HB086,38.59999847,822.9025756,370.8246358,488.2182149,422.6437455,422.0677517,321.188097,195.2768769,131.5304334,200.4351353,652.7082321,957.4368219,647.2655727,5632.4980928,Pluvial Dominant Hybrid
08HB089,86.80000305,253.5032871,151.487892,150.5353787,130.7944648,136.3648313,83.1052499,28.18799839,9.660489508,11.46904496,105.8620365,228.4850477,221.9289724,1511.384693258,Pluvial
